SMILES,熔点Tm,玻璃化转变温度Tg ,分解温度Td,密度ρ,生成焓H,爆速Df,爆压PG,撞击感度,摩擦感度,比冲,点火延迟,氧化剂,粘度,参考文献,cation,wrong_smiles
CCCC[N+]1=CN(C)C=C1.O=[N+](C2=NN=C([N+]([O-])=O)[N-]2)[O-],35.5,,239,,,,,,,,,,,10.1039/B414683B,CCCC[n+]1ccn(C)c1,
CCCC[N+]1=CN(C)C=C1.C2(/N=N/C3=NN=N[N-]3)=NN=N[N-]2,3,,,1.26,-1006,,,,,,,,,10.1039/B502583D,CCCC[n+]1ccn(C)c1,
CCCC[N+]1=CN(C)C=C1.[N-]=[N+]=[N-],36,-74,222,,305,,,,,,,,,10.1021/ic8004739,CCCC[n+]1ccn(C)c1,
CN1C=C[N+](CCO)=C1.[N-]=[N+]=[N-],36,-3,214,,167,,,,,,,,,10.1021/ic8004739,Cn1cc[n+](CCO)c1,
CN1C=C[N+](CC=C)=C1.[N-]=[N+]=[N-],19,77,150,,448,,,,,,,,,10.1021/ic8004739,C=CC[n+]1ccn(C)c1,
CN1C=C[N+](CCC=C)=C1.[N-]=[N+]=[N-],45,-57,188,,423,,,,,,,,,10.1021/ic8004739,C=CCC[n+]1ccn(C)c1,
CN1C=C[N+](CC#CC)=C1.[N-]=[N+]=[N-],66,,115,,598,,,,,,,,,10.1021/ic8004739,CC#CC[n+]1ccn(C)c1,
CN1C=C[N+](CC#CCC)=C1.[N-]=[N+]=[N-],19,-55,107,,582,,,,,,,,,10.1021/ic8004739,CCC#CC[n+]1ccn(C)c1,
CN1C=C[N+](CCCC)=C1.O=[N+](C2=CC=C3C(N=N[N-]3)=C2)[O-],,-41,186,,,,,,,,,,,0.1002/chem.200901418,CCCC[n+]1ccn(C)c1,
CN1C=C[N+](CCCC)=C1.O=[N+](C2=CC=C([N-]C=N3)C3=C2)[O-],,-34,177,,,,,,,,,,,0.1002/chem.200901418,CCCC[n+]1ccn(C)c1,
CN1C=C[N+](CCCC)=C1.O=[N+](C2=C[N-]N=N2)[O-],,-73,219,,,,,,,,,,,0.1002/chem.200901418,CCCC[n+]1ccn(C)c1,
CN1C=C[N+](CCCC)=C1.O=[N+](C2=C[N-]C=N2)[O-],,-63,200,,,,,,,,,,,0.1002/chem.200901418,CCCC[n+]1ccn(C)c1,
CN1C=C[N+](CCCC)=C1.O=[N+](C2=N[N-]C([N+]([O-])=O)=N2)[O-],33,,239,,,,,,,,,,,0.1002/chem.200901418,CCCC[n+]1ccn(C)c1,
CN1C=C[N+](CCCC)=C1.O=[N+](C2=C[N-]C([N+]([O-])=O)=N2)[O-],,-53,254,,,,,,,,,,,0.1002/chem.200901418,CCCC[n+]1ccn(C)c1,
CN1C=C[N+](CCCC)=C1.O=[N+](C2=C([N+]([O-])=O)[N-]C=N2)[O-],,-64,241,,,,,,,,,,,0.1002/chem.200901418,CCCC[n+]1ccn(C)c1,
CN1C=C[N+](CCCC)=C1.N#CC2=C(C#N)[N-]C=N2,,-74,230,,,,,,,,,,,0.1002/chem.200901418,CCCC[n+]1ccn(C)c1,
CN1C=C[N+](CCCC)=C1.N2=C[N-]N=N2,,-82,208,,,,,,,,,,,0.1002/chem.200901418,CCCC[n+]1ccn(C)c1,
CN1C=C([N+]([O-])=O)[N+](C)=C1.O=S(OC)([O-])=O,95,,166,1.629,,,,,,,,,,10.1039/B509260D,Cn1cc([N+](=O)[O-])[n+](C)c1,
CN1C=C([N+]([O-])=O)[N+](C)=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,35,-41,258,,,,,,,,,,,10.1039/B509260D,Cn1cc([N+](=O)[O-])[n+](C)c1,
C[N+]1=CN(CC)C=C1[N+]([O-])=O.FC(F)(S(=O)([O-])=O)F,92,,260,1.678,,,,,,,,,,10.1039/B509260D,CCn1cc([N+](=O)[O-])[n+](C)c1,
C[N+]1=CN(CC)C=C1[N+]([O-])=O.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,,-45,270,,,,,,,,,,,10.1039/B509260D,CCn1cc([N+](=O)[O-])[n+](C)c1,
C[N+]1=C([N+]([O-])=O)N(C)C=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,72,,248,,,,,,,,,,,10.1039/B509260D,Cn1cc[n+](C)c1[N+](=O)[O-],
C[N+]1=CN(C)C(C#N)=C1C#N.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,84,,264,,,,,,,,,,,10.1039/B509260D,Cn1c[n+](C)c(C#N)c1C#N,
CN1C=C[NH+]=C1[N+]([O-])=O.[O-]C2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2[N+]([O-])=O,,-25,112,,,,,,,,,,,10.1039/C1NJ20677J,Cn1cc[nH+]c1[N+](=O)[O-],
